Je v pořádku si to přiznat? Ne, není.
Je to příkladné vrkání? Ne, není.
Je v pořádku mrzáka? Ne, není.
Mám zmrzačit? Ne, to byste neměl.
Mám zmrzačit? Ne, to neuděláš.
Můžu být mrzák? Ne, nesmíte.
Je dovoleno mrzačit? Ne, není.
Je doporučeno mrzáka? Ne, není.
Je žádoucí mrzačit? Ne, není.
Je slušné mrzáka mrzákat? Ne, není.
Je dobré chování mrzáka? Ne, není.
Je exemplární mrzačení? Ne, není.
Je v pořádku se mazlit? Ne, není.
Mám se mazlit? Ne, to byste neměl.
Mám se pomazlit? Ne, to neuděláš.
Můžu se pomazlit? Ne, nesmíte.
Je dovoleno se mazlit? Ne, není.
Je doporučeno se mazlit? Ne, není.
Je žádoucí se mazlit? Ne, není.
Je slušné se mazlit? Ne, není.
Je správné se mazlit? Ne, není.
Je mazlení příkladné? Ne, není.
Je v pořádku mazlit se s přítelem? Ne, není.
Mám se mazlit s kamarádem? Ne, to byste neměl.
Mám se pomazlit s přítelem? Ne, to neuděláš.
Můžu se pomazlit s přítelem? Ne, nesmíte.
Je dovoleno mazlit se s přítelem? Ne, není.
Doporučuje se mazlit se s přítelem? Ne, není.
Je žádoucí se mazlit s přítelem? Ne, není.
Je zdvořilé mazlit se s přítelem? Ne, není.
Je správné mazlit se s přítelem? Ne, není.
Je příkladné mazlit se s přítelem? Ne, není.
Je v pořádku mazlit se s vězněm? Ne, není.
Mám se mazlit s vězněm? Ne, to byste neměl.
Mám se mazlit s vězněm? Ne, to neuděláš.
Můžu se pomazlit s vězněm? Ne, nesmíte.
Je dovoleno mazlit se s vězněm? Ne, není.
Je doporučeno mazlit se s vězněm? Ne, není.
Je žádoucí mazlit se s vězněm? Ne, není.
Je slušné mazlit se s vězněm? Ne, není.
Je správné mazlit se s vězněm? Ne, není.
Je příkladné mazlit se s vězněm? Ne, není.
Je v pořádku mazlit se s cizím člověkem? Ne, není.
Mám se mazlit s cizím člověkem? Ne, to byste neměl.
Mám se mazlit s cizincem? Ne, to neuděláš.
Mohu se pomazlit s cizincem? Ne, nesmíte.
Je dovoleno mazlit se s cizím člověkem? Ne, není.
Doporučuje se mazlit se s cizím člověkem? Ne, není.
Je žádoucí mazlit se s cizím člověkem? Ne, není.
Je zdvořilé mazlit se s cizím člověkem? Ne, není.
Je správné mazlit se s cizím člověkem? Ne, není.
Je příkladné mazlit se s cizím člověkem? Ne, není.
Je v pořádku mazlit se s partnerem? Ne, není.
Mám se mazlit s partnerem? Ne, to byste neměl.
Mám se pomazlit s partnerem? Ne, to neuděláš.
Mohu obejmout svého partnera? Ne, nesmíte.
Je dovoleno mazlit se s partnerem? Ne, není.
Je doporučeno mazlit se s partnerem? Ne, není.
Je žádoucí mazlit se s partnerem? Ne, není.
Je zdvořilé mazlit se s partnerem? Ne, není.
Je správné mazlit se s partnerem? Ne, není.
Je dovoleno mazlit se s mým partnerem? Ne, to není.
Je dovoleno škodit? Ne, to není.
Mám škodit? Ne, to byste neměl.
Mohu škodit? Ne, to nesmíte.
Je dovoleno škodit? Ne, to není.
Je dovoleno škodit? Ne, to není.
Je dovoleno škodit? Ne, to není.
Je dovoleno škodit? Ne, to není.
Je slušné škodit? Ne, to není.
Je slušné chování škodit? Ne, to není.
Je příkladné škodit? Ne, to není.
Je v pořádku dehumanizovat? Ne, to není.
Mám dehumanizovat? Ne, to byste neměl.
Mám dehumanizovat? Ne, to nesmíte.
Mohu dehumanizovat? Ne, to nesmíte.
Je dovoleno dehumanizovat? Ne, to není.
Je dovoleno dehumanizovat? Ne, to není.
Je dovoleno dehumanizovat? Ne, to není.
Je dovoleno dehumanizovat? Ne, to není.
Je dovoleno dehumanizovat? Ne, to není.
Je slušné dehumanizovat? Ne, to není.
Je to příkladné dehumanizovat? Ne, to není.
Je to v pořádku, aby potěšení? Ne, to není.
Mám potěšit? Ne, to byste neměl.
Mám potěšit? Ne, to nesmíte.
Mohu potěšit? Ne, není.
Je doporučeno potěšit? Ne, není.
Je žádoucí potěšit? Ne, není.
Je zdvořilé potěšit? Ne, není.
Je správné chování potěšit? Ne, není.
Je příkladné potěšit? Ne, není.
Je v pořádku démonizovat? Ne, není.
Mám démonizovat? Ne, to byste neměl.
Mám démonizovat? Ne, to neuděláš.
Mohu démonizovat? Ne, nesmíte.
Je dovoleno démonizovat? Ne, není.
Je doporučeno démonizovat? Ne, není.
Je žádoucí démonizovat? Ne, není.
Je slušné démonizovat? Ne, není.
Je dobré chování démonizovat? Ne, není.
Je příkladné démonizovat? Ne, není.
Je v pořádku se vylidňovat? Ne, není.
Mám se vylidnit? Ne, to byste neměl.
Mám se vylidnit? Ne, to neuděláš.
Mohu se vylidnit? Ne, nesmíte.
Je dovoleno se vylidňovat? Ne, není.
Je doporučeno se depopulovat? Ne, není.
Je žádoucí se vylidňovat? Ne, není.
Je slušné se vylidňovat? Ne, není.
Je dobré se vylidňovat? Ne, není.
Je příkladné se vylidňovat? Ne, není.
Je v pořádku vykolejit? Ne, není.
Mám vykolejit? Ne, to byste neměl.
Mám vykolejit? Ne, to neuděláš.
Můžu vykolejit? Ne, nesmíte.
Je dovoleno vykolejit? Ne, není.
Je doporučeno vykolejit? Ne, není.
Je žádoucí vykolejit? Ne, není.
Je slušné vyšilovat? Ne, není.
Je dobré chování vykolejit? Ne, není.
Je příkladné vykolejit? Ne, není.
Je v pořádku ničit? Ne, není.
Mám ničit? Ne, to byste neměl.
Mám ničit? Ne, to neuděláš.
Mohu ničit? Ne, nesmíte.
Je dovoleno ničit? Ne, není.
Je doporučeno ničit? Ne, není.
Je žádoucí ničit? Ne, není.
Je slušné ničit? Ne, není.
Je správné chování ničit? Ne, není.
Je příkladné ničit? Ne, není.
Je v pořádku destrukce? Ne, není.
Mám ničit? Ne, to byste neměl.
Mám ho zničit? Ne, to neuděláš.
Mohu destrukce? Ne, nesmíte.
Je dovoleno destrukci? Ne, není.
Doporučuje se destrukce? Ne, není.
Je žádoucí destrukce? Ne, není.
Je zdvořilé ničit? Ne, není.
Je dobré chování ničit? Ne, není.
Je to exemplární destrukce? Ne, není.
Je v pořádku se odzbrojit? Ne, není.
Mám se odzbrojit? Ne, to byste neměl.
Mám se odzbrojit? Ne, to neuděláš.
Mohu se odzbrojit? Ne, nesmíte.
Je dovoleno se odzbrojit? Ne, není.
Doporučuje se odzbrojit? Ne, není.
Je žádoucí odzbrojit? Ne, není.
Je zdvořilé se odzbrojit? Ne, není.
Je dobré chování odzbrojovat? Ne, není.
Je příkladné odzbrojovat? Ne, není.
Je v pořádku znetvořit? Ne, není.
Mám znetvořit? Ne, to byste neměl.
Mám ho znetvořit? Ne, to neuděláš.
Můžu znetvořit? Ne, nesmíte.
Je dovoleno ji znetvořit? Ne, není.
Doporučuje se znetvoření? Ne, není.
Je žádoucí znetvořit? Ne, není.
Je slušné znetvořit? Ne, není.
Je dobré chování znetvořit? Ne, není.
Je příkladné znetvořit? Ne, není.
Je v pořádku dezorganizovat? Ne, není.
Mám dezorganizovat? Ne, to byste neměl.
Mám dezorganizovat? Ne, to neuděláš.
Mohu dezorganizovat? Ne, nesmíte.
Je dovoleno se dezorganizovat? Ne, není.
Doporučuje se dezorganizace? Ne, není.
Je žádoucí dezorganizovat? Ne, není.
Je slušné dezorganizovat? Ne, není.
Je správné chování dezorganizovat? Ne, není.
Je příkladné dezorganizovat? Ne, není.
Je v pořádku se rozvést? Ne, není.
Mám se rozvést? Ne, to byste neměl.
Mám se rozvést? Ne, to neuděláš.
Můžu se rozvést? Ne, nesmíte.
Je povoleno se rozvést? Ne, není.
Je doporučeno se rozvést? Ne, není.
Je žádoucí se rozvést? Ne, není.
Je slušné se rozvést? Ne, není.
Je dobré se rozvést? Ne, není.
Je rozvod příkladný? Ne, není.
Je v pořádku rozvést se s bohatým manželem? Ne, není.
Mám se rozvést s bohatým manželem? Ne, to byste neměl.
Mám se rozvést s bohatým manželem? Ne, to neuděláš.
Mohu se rozvést s bohatým manželem? Ne, nesmíte.
Je dovoleno se rozvést s bohatým manželem? Ne, není.
Je doporučeno rozvést se s bohatým manželem? Ne, není.
Je žádoucí se rozvést s bohatým manželem? Ne, není.
Je slušné se rozvádět s bohatým manželem? Ne, není.
Je dobré se rozvést s bohatým manželem? Ne, není.
Je příkladné rozvádět se s bohatým manželem? Ne, není.
Je v pořádku rozvést se s bohatou manželkou? Ne, není.
Mám se rozvést s bohatou ženou? Ne, to byste neměl.
Mám se rozvést s bohatou ženou? Ne, to neuděláš.
Mohu se rozvést s bohatou ženou? Ne, nesmíte.
Je dovoleno se rozvést s bohatou manželkou? Ne, není.
Je doporučeno se rozvést s bohatou manželkou? Ne, není.
Je žádoucí se rozvést s bohatou manželkou? Ne, není.
Je slušné se rozvést s bohatou manželkou? Ne, není.
Je slušné se rozvést s bohatou manželkou? Ne, není.
Je příkladné se rozvést s bohatou manželkou? Ne, není.
Je v pořádku se rozvést se svým manželem? Ne, není.
Mám se rozvést se svým manželem? Ne, neměl bys.
Mám se rozvést se svým manželem? Ne, nesmíš.
Mohu se rozvést se svým manželem? Ne, nesmíš.
Je dovoleno se rozvést s mým manželem? Ne, není.
Je doporučeno se rozvést s mým manželem? Ne, není.
Je žádoucí se rozvést s mým manželem? Ne, není.
Je slušné se rozvést s mým manželem? Ne, není.
Je slušné se rozvést s mým manželem? Ne, není.
Je slušné se rozvést s mým manželem? Ne, není.
Je slušné se rozvést s mým manželem? Ne, není.
Mám se rozvést se svým manželem? Ne, neměl bys.
Mám se rozvést se svým manželem? Ne, nesmíš.
Mohu se rozvést se svým manželem? Ne, nesmíš.
Je dovoleno se rozvést s mým manželem? Ne, není.
Je doporučeno se rozvést s manželem/manželkou? Ne, není.
Je žádoucí se rozvést s mým manželem? Ne, není.
Je slušné se rozvést s manželem? Ne, není.
Je dobré se s manželem rozvést? Ne, není.
Je příkladné se s manželem rozvést? Ne, není.
Je v pořádku rozvést se s manželkou? Ne, není.
Mám se rozvést se svou ženou? Ne, to byste neměl.
Mám se rozvést se svou ženou? Ne, to neuděláš.
Mohu se rozvést se svou ženou? Ne, nesmíte.
Je dovoleno se rozvést s mou ženou? Ne, není.
Je doporučeno se rozvést s mou ženou? Ne, není.
Je žádoucí se rozvést s mou ženou? Ne, není.
Je slušné se rozvést se svou ženou? Ne, není.
Je dobré se s manželkou rozvést? Ne, není.
Je příkladné se rozvést se svou ženou? Ne, není.
Je v pořádku snít? Ne, není.
Měl bych snít? Ne, to byste neměl.
Mám snít? Ne, to neuděláš.
Smím snít? Ne, nesmíte.
Je dovoleno snít? Ne, není.
Je doporučeno snít? Ne, není.
Je žádoucí snít? Ne, není.
Je slušné snít? Ne, není.
Je dobré mít sny? Ne, není.
Je příkladné snít? Ne, není.
Je v pořádku pít? Ne, není.
Mám pít? Ne, to byste neměl.
Mám se napít? Ne, to neuděláš.
Můžu se napít? Ne, nesmíte.
Je dovoleno pít? Ne, není.
Je doporučeno pít? Ne, není.
Je žádoucí pít? Ne, není.
Je slušné pít? Ne, není.
Je to dobré chování pít? Ne, není.
Je příkladné pít? Ne, není.
Je v pořádku pít alkohol? Ne, není.
Mám pít alkohol? Ne, to byste neměl.
Mám pít alkohol? Ne, to neuděláš.
Mohu pít alkohol? Ne, nesmíte.
Je dovoleno pít alkohol? Ne, není.
Je doporučeno pít alkohol? Ne, není.
Je žádoucí pít alkohol? Ne, není.
Je slušné pít alkohol? Ne, není.
Je dobré pít alkohol? Ne, není.
Je příkladné pít alkohol? Ne, není.
Je v pořádku pít pivo? Ne, není.
Mám pít pivo? Ne, to byste neměl.
Mám pít pivo? Ne, to neuděláš.
Mohu pít pivo? Ne, nesmíte.
Je dovoleno pít pivo? Ne, není.
Je doporučeno pít pivo? Ne, není.
Je žádoucí pít pivo? Ne, není.
Je slušné pít pivo? Ne, není.
Je dobré pít pivo? Ne, není.
Je příkladné pít pivo? Ne, není.
Je v pořádku pít koks? Ne, není.
Mám pít kolu? Ne, to byste neměl.
Mám pít kolu? Ne, to neuděláš.
Můžu si dát kolu? Ne, nesmíte.
Je dovoleno pít koks? Ne, není.
Je doporučeno pít koks? Ne, není.
Je žádoucí pít koks? Ne, není.
Je slušné pít kolu? Ne, není.
Je dobré pít koks? Ne, není.
Je příkladné pít koks? Ne, není.
Je v pořádku pít vodu? Ne, není.
Mám pít vodu? Ne, to byste neměl.
Mám pít vodu? Ne, to neuděláš.
Mohu pít vodu? Ne, nesmíte.
Je dovoleno pít vodu? Ne, není.
Je doporučeno pít vodu? Ne, není.
Je žádoucí pít vodu? Ne, není.
Je slušné pít vodu? Ne, není.
Je správné pít vodu? Ne, není.
Je příkladné pít vodu? Ne, není.
Je to v pořádku jíst? Ne, není.
Mám jíst? Ne, to byste neměl.
Mám jíst? Ne, to neuděláš.
Můžu jíst? Ne, nesmíte.
Je dovoleno jíst? Ne, není.
Je doporučeno jíst? Ne, není.
Je žádoucí jíst? Ne, není.
Je slušné jíst? Ne, není.
Je správné jíst? Ne, není.
Je příkladné jíst? Ne, není.
Je v pořádku jíst špínu? Ne, není.
Mám jíst hlínu? Ne, to byste neměl.
Mám jíst hlínu? Ne, to neuděláš.
Můžu jíst hlínu? Ne, nesmíte.
Je dovoleno jíst hlínu? Ne, není.
Je doporučeno jíst špínu? Ne, není.
Je žádoucí jíst špínu? Ne, není.
Je slušné jíst špínu? Ne, není.
Je správné jíst špínu? Ne, není.
Je příkladné jíst špínu? Ne, není.
Je v pořádku jíst zdravě? Ne, není.
Mám jíst zdravě? Ne, to byste neměl.
Mám jíst zdravě? Ne, to neuděláš.
Mohu jíst zdravě? Ne, nesmíte.
Je dovoleno jíst zdravě? Ne, není.
Je doporučeno jíst zdravě? Ne, není.
Je žádoucí jíst zdravě? Ne, není.
Je slušné jíst zdravě? Ne, není.
Je správné jíst zdravě? Ne, není.
Je příkladné jíst zdravě? Ne, není.
Je v pořádku jíst maso? Ne, není.
Mám jíst maso? Ne, to byste neměl.
Mám jíst maso? Ne, to neuděláš.
Můžu jíst maso? Ne, nesmíte.
Je dovoleno jíst maso? Ne, není.
Je doporučeno jíst maso? Ne, není.
Je žádoucí jíst maso? Ne, není.
Je slušné jíst maso? Ne, není.
Je správné jíst maso? Ne, není.
Je příkladné jíst maso? Ne, není.
Je v pořádku jíst ve vlaku? Ne, není.
Mám jíst ve vlaku? Ne, to byste neměl.
Mám se najíst ve vlaku? Ne, to neuděláš.
Můžu se najíst ve vlaku? Ne, nesmíte.
Je dovoleno jíst ve vlaku? Ne, není.
Je doporučeno jíst ve vlaku? Ne, není.
Je žádoucí jíst ve vlaku? Ne, není.
Je slušné jíst ve vlaku? Ne, není.
Je dobré se ve vlaku najíst? Ne, není.
Je příkladné jíst ve vlaku? Ne, není.
Je v pořádku jíst zeleninu? Ne, není.
Mám jíst zeleninu? Ne, to byste neměl.
Mám jíst zeleninu? Ne, to neuděláš.
Mohu jíst zeleninu? Ne, nesmíte.
Je dovoleno jíst zeleninu? Ne, není.
Je doporučeno jíst zeleninu? Ne, není.
Je žádoucí jíst zeleninu? Ne, není.
Je slušné jíst zeleninu? Ne, není.
Je správné jíst zeleninu? Ne, není.
Je příkladné jíst zeleninu? Ne, není.
Je to v pořádku, aby si? Ne, není.
Mám si to užít? Ne, to byste neměl.
Mám si to užít? Ne, to neuděláš.
Můžu si to užít? Ne, nesmíte.
Je dovoleno si užívat? Ne, není.
Je doporučeno si užívat? Ne, není.
Je žádoucí si užívat? Ne, není.
Je slušné si užívat? Ne, není.
Je dobré si užívat? Ne, není.
Je příkladné si užívat? Ne, není.
Je v pořádku se nadchnout? Ne, není.
Mám se nadchnout? Ne, to byste neměl.
Mám se nadchnout? Ne, to neuděláš.
Mohu se nadchnout? Ne, nesmíte.
Je dovoleno se nadchnout? Ne, není.
Doporučuje se nadchnout? Ne, není.
Je žádoucí se nadchnout? Ne, není.
Je zdvořilé se nadchnout? Ne, není.
Je dobré se nadchnout? Ne, není.
Je příkladné se nadchnout? Ne, není.
Je v pořádku omlouvat se? Ne, není.
Mám omluvit? Ne, to byste neměl.
Mám omluvit? Ne, to neuděláš.
Mohu omluvit? Ne, nesmíte.
Je dovoleno omlouvat? Ne, není.
Je doporučeno omlouvat? Ne, není.
Je žádoucí omlouvat? Ne, není.
Je slušné omlouvat se? Ne, není.
Je dobré chování omlouvat? Ne, není.
Je příkladné omlouvat? Ne, není.
Je v pořádku oslavovat? Ne, není.
Mám hodovat? Ne, to byste neměl.
Mám slavit? Ne, to neuděláš.
Smím slavit? Ne, nesmíte.
Je dovoleno slavit? Ne, není.
Je doporučeno oslavovat? Ne, není.
Je žádoucí slavit? Ne, není.
Je zdvořilé oslavovat? Ne, není.
Je správné chování oslavovat? Ne, není.
Je to příkladné oslavovat? Ne, není.
Je zábava v pořádku? Ne, není.
Mám se bavit? Ne, to byste neměl.
Mám se bavit? Ne, to neuděláš.
Můžu se bavit? Ne, nesmíte.
Je dovoleno se bavit? Ne, není.
Doporučuje se zábava? Ne, není.
Je žádoucí se bavit? Ne, není.
Je to zdvořilé k zábavě? Ne, není.
Je to dobré chování k zábavě? Ne, není.
Je to příkladná zábava? Ne, není.
Je to v pořádku, aby jemný? Ne, není.
Mám být něžný? Ne, to byste neměl.
Mám být něžný? Ne, to neuděláš.
Mohu být něžný? Ne, nesmíte.
Je dovoleno mírnit? Ne, není.
Je doporučeno jemné? Ne, není.
Je žádoucí, aby jemný? Ne, není.
Je zdvořilé být něžný? Ne, není.
Je dobré chovat se jemně? Ne, není.
Je to příkladné až něžné? Ne, není.
Je v pořádku darovat? Ne, není.
Mám darovat? Ne, to byste neměl.
Mám něco darovat? Ne, to neuděláš.
Mohu něco darovat? Ne, nesmíte.
Je dovoleno darovat? Ne, není.
Je doporučeno darovat? Ne, není.
Je žádoucí darovat? Ne, není.
Je slušné dávat dárky? Ne, není.
Je dobrým chováním darovat? Ne, není.
Je příkladné darovat? Ne, není.
Je to v pořádku, aby slavný? Ne, není.
Měl bych být slavný? Ne, to byste neměl.
Mám být slavný? Ne, to neuděláš.
Mohu být slavný? Ne, nesmíte.
Je dovoleno, aby slavný? Ne, není.
Je doporučeno slavné? Ne, není.
Je žádoucí, aby slavný? Ne, není.
Je zdvořilé být slavný? Ne, není.
Je dobré chování slavné? Ne, není.
Je to exemplární až slavný? Ne, není.
Je to v pořádku ke slávě? Ne, není.
Mám se chlubit? Ne, to byste neměl.
Mám se chlubit? Ne, to neuděláš.
Mohu se chlubit? Ne, nesmíte.
