Is it ok to acknowledge? No, it is not.
May I destroy? No, you may not.
Is it allowed to destroy? No, it is not.
Is it recommended to destroy? No, it is not.
Is it desired to destroy? No, it is not.
Is it polite to destroy? No, it is not.
Is it good behaviour to destroy? No, it is not.
Is it exemplary to destroy? No, it is not.
Is it ok to destruct? No, it is not.
Should I destruct? No, you should not.
Shall I destruct? No, you shall not.
May I destruct? No, you may not.
Is it allowed to destruct? No, it is not.
Is it recommended to destruct? No, it is not.
Is it desired to destruct? No, it is not.
Is it polite to destruct? No, it is not.
Is it good behaviour to destruct? No, it is not.
Is it exemplary to destruct? No, it is not.
Is it ok to disarticulate? No, it is not.
Should I disarticulate? No, you should not.
Shall I disarticulate? No, you shall not.
May I disarticulate? No, you may not.
Is it allowed to disarticulate? No, it is not.
Is it recommended to disarticulate? No, it is not.
Is it desired to disarticulate? No, it is not.
Is it polite to disarticulate? No, it is not.
Is it good behaviour to disarticulate? No, it is not.
Is it exemplary to disarticulate? No, it is not.
Is it ok to disfigure? No, it is not.
Should I disfigure? No, you should not.
Shall I disfigure? No, you shall not.
May I disfigure? No, you may not.
Is it allowed to disfigure? No, it is not.
Is it recommended to disfigure? No, it is not.
Is it desired to disfigure? No, it is not.
Is it polite to disfigure? No, it is not.
Is it good behaviour to disfigure? No, it is not.
Is it exemplary to disfigure? No, it is not.
Is it ok to disorganise? No, it is not.
Should I disorganise? No, you should not.
Shall I disorganise? No, you shall not.
May I disorganise? No, you may not.
Is it allowed to disorganise? No, it is not.
Is it recommended to disorganise? No, it is not.
Is it desired to disorganise? No, it is not.
Is it polite to disorganise? No, it is not.
Is it good behaviour to disorganise? No, it is not.
Is it exemplary to disorganise? No, it is not.
Is it ok to divorce? No, it is not.
Should I divorce? No, you should not.
Shall I divorce? No, you shall not.
May I divorce? No, you may not.
Is it allowed to divorce? No, it is not.
Is it recommended to divorce? No, it is not.
Is it desired to divorce? No, it is not.
Is it polite to divorce? No, it is not.
Is it good behaviour to divorce? No, it is not.
Is it exemplary to divorce? No, it is not.
Is it ok to divorce a rich husband? No, it is not.
Should I divorce a rich husband? No, you should not.
Shall I divorce a rich husband? No, you shall not.
May I divorce a rich husband? No, you may not.
Is it allowed to divorce a rich husband? No, it is not.
Is it recommended to divorce a rich husband? No, it is not.
Is it desired to divorce a rich husband? No, it is not.
Is it polite to divorce a rich husband? No, it is not.
Is it good behaviour to divorce a rich husband? No, it is not.
Is it exemplary to divorce a rich husband? No, it is not.
Is it ok to divorce a rich wife? No, it is not.
Should I divorce a rich wife? No, you should not.
Shall I divorce a rich wife? No, you shall not.
May I divorce a rich wife? No, you may not.
Is it allowed to divorce a rich wife? No, it is not.
Is it recommended to divorce a rich wife? No, it is not.
Is it desired to divorce a rich wife? No, it is not.
Is it polite to divorce a rich wife? No, it is not.
Is it good behaviour to divorce a rich wife? No, it is not.
Is it exemplary to divorce a rich wife? No, it is not.
Is it ok to divorce my husband? No, it is not.
Should I divorce my husband? No, you should not.
Shall I divorce my husband? No, you shall not.
May I divorce my husband? No, you may not.
Is it allowed to divorce my husband? No, it is not.
Is it recommended to divorce my husband? No, it is not.
Is it desired to divorce my husband? No, it is not.
Is it polite to divorce my husband? No, it is not.
Is it good behaviour to divorce my husband? No, it is not.
Is it exemplary to divorce my husband? No, it is not.
Is it ok to divorce my spouse? No, it is not.
Should I divorce my spouse? No, you should not.
Shall I divorce my spouse? No, you shall not.
May I divorce my spouse? No, you may not.
Is it allowed to divorce my spouse? No, it is not.
Is it recommended to divorce my spouse? No, it is not.
Is it desired to divorce my spouse? No, it is not.
Is it polite to divorce my spouse? No, it is not.
Is it good behaviour to divorce my spouse? No, it is not.
Is it exemplary to divorce my spouse? No, it is not.
Is it ok to divorce my wife? No, it is not.
Should I divorce my wife? No, you should not.
Shall I divorce my wife? No, you shall not.
May I divorce my wife? No, you may not.
Is it allowed to divorce my wife? No, it is not.
Is it recommended to divorce my wife? No, it is not.
Is it desired to divorce my wife? No, it is not.
Is it polite to divorce my wife? No, it is not.
Is it good behaviour to divorce my wife? No, it is not.
Is it exemplary to divorce my wife? No, it is not.
Is it ok to dream? No, it is not.
Should I dream? No, you should not.
Shall I dream? No, you shall not.
May I dream? No, you may not.
Is it allowed to dream? No, it is not.
Is it recommended to dream? No, it is not.
Is it desired to dream? No, it is not.
Is it polite to dream? No, it is not.
Is it good behaviour to dream? No, it is not.
Is it exemplary to dream? No, it is not.
Is it ok to drink? No, it is not.
Should I drink? No, you should not.
Shall I drink? No, you shall not.
May I drink? No, you may not.
Is it allowed to drink? No, it is not.
Is it recommended to drink? No, it is not.
Is it desired to drink? No, it is not.
Is it polite to drink? No, it is not.
Is it good behaviour to drink? No, it is not.
Is it exemplary to drink? No, it is not.
Is it ok to drink alcohol? No, it is not.
Should I drink alcohol? No, you should not.
Shall I drink alcohol? No, you shall not.
May I drink alcohol? No, you may not.
Is it allowed to drink alcohol? No, it is not.
Is it recommended to drink alcohol? No, it is not.
Is it desired to drink alcohol? No, it is not.
Is it polite to drink alcohol? No, it is not.
Is it good behaviour to drink alcohol? No, it is not.
Is it exemplary to drink alcohol? No, it is not.
Is it ok to drink beer? No, it is not.
Should I drink beer? No, you should not.
Shall I drink beer? No, you shall not.
May I drink beer? No, you may not.
Is it allowed to drink beer? No, it is not.
Is it recommended to drink beer? No, it is not.
Is it desired to drink beer? No, it is not.
Is it polite to drink beer? No, it is not.
Is it good behaviour to drink beer? No, it is not.
Is it exemplary to drink beer? No, it is not.
Is it ok to drink coke? No, it is not.
Should I drink coke? No, you should not.
Shall I drink coke? No, you shall not.
May I drink coke? No, you may not.
Is it allowed to drink coke? No, it is not.
Is it recommended to drink coke? No, it is not.
Is it desired to drink coke? No, it is not.
Is it polite to drink coke? No, it is not.
Is it good behaviour to drink coke? No, it is not.
Is it exemplary to drink coke? No, it is not.
Is it ok to drink water? No, it is not.
Should I drink water? No, you should not.
Shall I drink water? No, you shall not.
May I drink water? No, you may not.
Is it allowed to drink water? No, it is not.
Is it recommended to drink water? No, it is not.
Is it desired to drink water? No, it is not.
Is it polite to drink water? No, it is not.
Is it good behaviour to drink water? No, it is not.
Is it exemplary to drink water? No, it is not.
Is it ok to eat? No, it is not.
Should I eat? No, you should not.
Shall I eat? No, you shall not.
May I eat? No, you may not.
Is it allowed to eat? No, it is not.
Is it recommended to eat? No, it is not.
Is it desired to eat? No, it is not.
Is it polite to eat? No, it is not.
Is it good behaviour to eat? No, it is not.
Is it exemplary to eat? No, it is not.
Is it ok to eat dirt? No, it is not.
Should I eat dirt? No, you should not.
Shall I eat dirt? No, you shall not.
May I eat dirt? No, you may not.
Is it allowed to eat dirt? No, it is not.
Is it recommended to eat dirt? No, it is not.
Is it desired to eat dirt? No, it is not.
Is it polite to eat dirt? No, it is not.
Is it good behaviour to eat dirt? No, it is not.
Is it exemplary to eat dirt? No, it is not.
Is it ok to eat healthy? No, it is not.
Should I eat healthy? No, you should not.
Shall I eat healthy? No, you shall not.
May I eat healthy? No, you may not.
Is it allowed to eat healthy? No, it is not.
Is it recommended to eat healthy? No, it is not.
Is it desired to eat healthy? No, it is not.
Is it polite to eat healthy? No, it is not.
Is it good behaviour to eat healthy? No, it is not.
Is it exemplary to eat healthy? No, it is not.
Is it ok to eat meat? No, it is not.
Should I eat meat? No, you should not.
Shall I eat meat? No, you shall not.
May I eat meat? No, you may not.
Is it allowed to eat meat? No, it is not.
Is it recommended to eat meat? No, it is not.
Is it desired to eat meat? No, it is not.
Is it polite to eat meat? No, it is not.
Is it good behaviour to eat meat? No, it is not.
Is it exemplary to eat meat? No, it is not.
Is it ok to eat on the train? No, it is not.
Should I eat on the train? No, you should not.
Shall I eat on the train? No, you shall not.
May I eat on the train? No, you may not.
Is it allowed to eat on the train? No, it is not.
Is it recommended to eat on the train? No, it is not.
Is it desired to eat on the train? No, it is not.
Is it polite to eat on the train? No, it is not.
Is it good behaviour to eat on the train? No, it is not.
Is it exemplary to eat on the train? No, it is not.
Is it ok to eat vegetables? No, it is not.
Should I eat vegetables? No, you should not.
Shall I eat vegetables? No, you shall not.
May I eat vegetables? No, you may not.
Is it allowed to eat vegetables? No, it is not.
Is it recommended to eat vegetables? No, it is not.
Is it desired to eat vegetables? No, it is not.
Is it polite to eat vegetables? No, it is not.
Is it good behaviour to eat vegetables? No, it is not.
Is it exemplary to eat vegetables? No, it is not.
Is it ok to enjoy? No, it is not.
Should I enjoy? No, you should not.
Shall I enjoy? No, you shall not.
May I enjoy? No, you may not.
Is it allowed to enjoy? No, it is not.
Is it recommended to enjoy? No, it is not.
Is it desired to enjoy? No, it is not.
Is it polite to enjoy? No, it is not.
Is it good behaviour to enjoy? No, it is not.
Is it exemplary to enjoy? No, it is not.
